DATE,MONTH,TEMP_MAX,TEMP_MIN,TEMP_AVG,PRES_AVG,PRES_MAX,PRES_MIN,HUM_AVG,HUM_MAX,HUM_MIN
2000-01-01,JANUARY,29.9,19.2,24.55,23.1,25.3,18.5,80.0,96.0,55.0
2000-01-02,JANUARY,31.6,21.0,26.3,24.9,27.6,23.2,78.0,93.0,53.0
2000-01-03,JANUARY,31.2,20.0,25.6,25.0,29.3,23.3,83.0,99.0,54.0
2000-01-04,JANUARY,30.8,18.8,24.8,24.5,27.1,22.8,87.0,99.0,55.0
2000-01-05,JANUARY,23.8,18.8,21.3,21.3,23.2,19.2,87.0,96.0,72.0
2000-01-06,JANUARY,29.4,17.0,23.2,23.5,26.1,20.0,85.0,96.0,59.0
2000-01-07,JANUARY,30.6,19.4,25.0,24.9,26.8,22.8,84.0,99.0,57.0
2000-01-08,JANUARY,29.3,19.6,24.45,23.5,26.1,22.5,80.0,98.0,59.0
2000-01-09,JANUARY,31.2,18.6,24.9,23.0,25.9,21.4,79.0,98.0,49.0
2000-01-10,JANUARY,31.9,17.8,24.85,24.2,28.1,20.4,81.0,98.0,50.0
2000-01-11,JANUARY,32.4,19.4,25.9,24.1,26.1,20.8,79.0,98.0,44.0
2000-01-12,JANUARY,31.0,18.5,24.75,22.4,25.9,18.4,75.0,98.0,45.0
2000-01-13,JANUARY,31.9,18.6,25.25,23.5,25.4,20.4,78.0,95.0,50.0
2000-01-14,JANUARY,30.8,20.5,25.65,22.3,25.6,19.2,77.0,96.0,49.0
2000-01-15,JANUARY,30.0,18.3,24.15,19.8,23.3,16.9,73.0,91.0,51.0
2000-01-16,JANUARY,28.3,16.6,22.45,16.7,19.1,14.9,66.0,92.0,43.0
2000-01-17,JANUARY,29.6,12.5,21.05,17.1,21.2,14.1,70.0,95.0,44.0
2000-01-18,JANUARY,29.7,13.2,21.45,17.5,19.7,16.1,72.0,98.0,42.0
2000-01-19,JANUARY,29.0,11.3,20.15,17.5,19.2,14.0,74.0,98.0,44.0
2000-01-20,JANUARY,28.8,11.9,20.35,18.1,22.0,14.0,76.0,98.0,46.0
2000-01-21,JANUARY,29.6,10.4,20.0,18.1,21.1,13.1,77.0,99.0,44.0
2000-01-22,JANUARY,31.4,15.7,23.55,18.8,21.3,16.8,71.0,99.0,39.0
2000-01-23,JANUARY,31.5,16.8,24.15,21.6,25.1,18.7,77.0,96.0,49.0
2000-01-24,JANUARY,29.0,16.8,22.9,21.0,24.9,16.4,79.0,99.0,52.0
2000-01-25,JANUARY,26.9,9.4,18.15,15.3,17.1,12.1,75.0,99.0,43.0
2000-01-26,JANUARY,28.0,8.9,18.45,15.0,17.6,11.7,74.0,99.0,44.0
2000-01-27,JANUARY,30.3,13.3,21.8,17.5,22.0,14.4,70.0,91.0,42.0
2000-01-28,JANUARY,31.7,15.9,23.8,20.5,23.6,17.9,74.0,93.0,42.0
2000-01-29,JANUARY,31.8,19.0,25.4,21.2,24.7,20.4,74.0,96.0,49.0
2000-01-30,JANUARY,32.2,17.2,24.7,21.6,24.8,19.4,73.0,96.0,43.0
2000-01-31,JANUARY,32.4,17.9,25.15,23.5,25.6,20.3,82.0,98.0,49.0
2000-02-01,FEBRUARY,33.7,21.0,27.35,23.7,25.7,22.5,80.0,97.0,44.0
2000-02-02,FEBRUARY,33.4,19.0,26.2,24.8,26.4,22.3,80.0,98.0,47.0
2000-02-03,FEBRUARY,30.4,18.0,24.2,24.1,27.2,20.9,86.0,98.0,61.0
2000-02-04,FEBRUARY,28.4,17.6,23.0,21.7,24.8,19.2,83.0,99.0,62.0
2000-02-05,FEBRUARY,28.4,14.1,21.25,17.4,21.6,15.9,71.0,96.0,45.0
2000-02-06,FEBRUARY,28.6,11.8,20.2,17.1,21.1,13.4,74.0,98.0,41.0
2000-02-07,FEBRUARY,28.2,15.5,21.85,16.3,17.6,15.2,71.0,90.0,42.0
2000-02-08,FEBRUARY,28.2,13.0,20.6,16.8,18.7,14.4,74.0,97.0,50.0
2000-02-09,FEBRUARY,27.7,9.5,18.6,14.8,18.3,11.6,69.0,99.0,46.0
2000-02-10,FEBRUARY,30.0,6.6,18.3,13.4,16.8,9.6,64.0,97.0,34.0
2000-02-11,FEBRUARY,33.1,13.1,23.1,16.6,19.2,13.4,64.0,92.0,31.0
2000-02-12,FEBRUARY,33.6,14.9,24.25,20.9,28.9,16.0,70.0,96.0,42.0
2000-02-13,FEBRUARY,35.0,20.9,27.95,23.9,26.3,21.2,71.0,97.0,39.0
2000-02-14,FEBRUARY,36.2,21.5,28.85,24.6,26.8,20.7,72.0,98.0,36.0
2000-02-15,FEBRUARY,36.0,21.4,28.7,23.0,26.5,20.1,68.0,97.0,38.0
2000-02-16,FEBRUARY,35.7,20.9,28.3,21.0,24.7,18.3,61.0,94.0,34.0
2000-02-17,FEBRUARY,34.8,20.2,27.5,23.0,29.1,20.0,70.0,98.0,41.0
